_,Name,Start Date,Due Date,Assignee,Project,Subs
Yes,STAT 406 - HW 2,"September 4, 2024","October 17, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - Wind C,"September 4, 2024","October 21, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - Wind D,"September 4, 2024","October 26, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - ePortfolio Wind,"September 4, 2024","October 28, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - Wind Midterm,"September 4, 2024","October 28, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 406 - HW 3,"September 4, 2024","October 31, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 493 - Case 2,"September 4, 2024","November 5, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - Solar A,"September 4, 2024","November 5, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - Solar B,"September 4, 2024","November 10, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - Solar C,"September 4, 2024","November 18, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 406 - HW 4,"September 4, 2024","November 19, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 493 - Group Analysis,"September 4, 2024","November 20, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - Solar D,"September 4, 2024","November 23, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - ePortfolio Solar,"September 4, 2024","November 25, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - Solar Midterm,"September 4, 2024","November 25, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,"COMR 493 - Participation self evaluation ","September 4, 2024","November 29, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - Synthesis A,"September 4, 2024","November 30, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - Synthesis B,"September 4, 2024","December 3, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - ePortfolio Final Draft Due,"September 4, 2024","December 4, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 406 - HW 5,"September 4, 2024","December 5, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ATSC 313 - Synthesis D,"September 4, 2024","December 6, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 404 Quiz 0,"September 7, 2024","September 9, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,Sort out STAT 406 Github & Knit issues,"September 7, 2024","September 13, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 406 - LAB 1,"September 7, 2024","September 13, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 406 - LAB 0,"September 7, 2024","September 13, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,Run Through Center for Accessability,"September 7, 2024","September 13, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,Send Accomodation letters,"September 8, 2024","October 6, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 404 Webwork 1,"September 12, 2024","September 18, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,404 HW 2 Review,"September 27, 2024","September 28, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,Send dad the enrolment proof,"September 27, 2024","September 29, 2024",,Personal Admin (../To%20Do%20List/Personal%20Admin%2049151e88a77242bc9b0721604ed238ff.md),
Yes,Art studio contract draft 1,"September 27, 2024","September 29, 2024",,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
Yes,404 Webwork 3,"September 27, 2024","October 8, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,404 Quiz #1,"September 27, 2024","October 8, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,404 Webwork 4,"September 27, 2024","October 17, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,404 Quiz 2,"September 27, 2024","October 29, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,404 Webwork 5,"September 27, 2024","November 14, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,404 Quiz 3,"September 27, 2024","November 19, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,404 Webwork 6,"September 27, 2024","November 28, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
No,interview Jacob,"September 27, 2024",,,Interviews (../To%20Do%20List/Interviews%2039208078d35549dcbf57093530474702.md),
Yes,Art studio contract revision & send to Quinn,"October 11, 2024","October 12, 2024",,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
No,The Statistical Life,"December 1, 2024",,,,
Yes,STAT 443 Webwork 1,"January 9, 2025","January 21, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 458 HW Ch 1 & 2,"January 9, 2025","January 24, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 458 Quiz 1,"January 9, 2025","January 26, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 443 Written 1,"January 9, 2025","January 30, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 458 Quiz 2,"January 9, 2025","January 31, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 458 HW Ch 3,"January 9, 2025","January 31, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 443 Webwork 2,"January 9, 2025","February 4, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ECON 319 First test,"January 9, 2025","February 6, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 458 HW ch 4,"January 9, 2025","February 7, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 443 Written 2,"January 9, 2025","February 13, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 458 Hw ch 5,"January 9, 2025","February 14, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 443 Webwork 3,"January 9, 2025","February 25, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 458 Quiz 3,"January 9, 2025","February 28, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 458 Hw ch 6,"January 9, 2025","February 28, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ECON 319 Research Essay Outline,"January 9, 2025","March 7, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 443 Webwork 4,"January 9, 2025","March 11, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 443 Written 3,"January 9, 2025","March 20, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 458 HW ch 7,"January 9, 2025","March 21, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 443 Webwork 5,"January 9, 2025","March 25, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ECON 319 Second Test,"January 9, 2025","March 27, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 443 Written 4,"January 9, 2025","April 3, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 458 HW ch 10,"January 9, 2025","April 4, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,ECON 319 Essay,"January 9, 2025","April 4, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 443 Webwork 6,"January 9, 2025","April 8, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 458 Quiz 4,"January 9, 2025","April 11, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,COMR 458 Hw ch 11,"January 9, 2025","April 11, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Research Ethics Cert,"January 11, 2025","January 13, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 HW 1,"January 11, 2025","January 20, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Client Meeting 1 Prep,"January 11, 2025","January 23, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Group Contract,"January 11, 2025","January 23, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Clientmeeting 1 notes,"January 11, 2025","January 27, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 HW2,"January 11, 2025","January 27, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Group Proposal,"January 11, 2025","February 3, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 In class pres file due,"January 11, 2025","February 6, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 HW3,"January 11, 2025","February 10, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Mid Group Review,"January 11, 2025","February 18, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 1st Draft,"January 11, 2025","February 20, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Report Peer Review,"January 11, 2025","February 26, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Client Meeting 2 prep,"January 11, 2025","February 27, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Client Meeting 2 notes,"January 11, 2025","March 2, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,"STAT 450 Lab (Every Week) ","January 11, 2025","March 7, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Oral pres submit,"January 11, 2025","March 11, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Oral pres peer review,"January 11, 2025","March 18, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Project summary for poster session,"January 11, 2025","March 18, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 2nd draft report,"January 11, 2025","March 23, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Mock poster session submission,"January 11, 2025","March 25, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Final Poster,"January 11, 2025","March 31, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,"STAT 443 Lab (Every Week) ","January 11, 2025","April 4, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,"STAT 450 Final Peer Assessment ","January 11, 2025","April 11, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 450 Final Report,"January 11, 2025","April 11, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT 443 Activity 1,"January 13, 2025","January 14, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,STAT443 Activity 2,"January 13, 2025","January 16, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
No,Email Profs for all courses,"January 13, 2025","April 16, 2025",Alex,Interviews (../To%20Do%20List/Interviews%2039208078d35549dcbf57093530474702.md),
Yes,STAT 443 Activity 3 & 4,"January 16, 2025","January 21, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,307 Python # 2,,"October 25, 2021",,,
Yes,302 WW3: Q3c,,"October 25, 2021",,,
Yes,121 HW2 Q1 2 4 5,,"October 26, 2021",,,
Yes,221: Lab - Trees,,"October 31, 2021",,,
Yes,"121 Quiz ",,"November 1, 2021",,,
Yes,302 WW4,,"November 1, 2021",,,
Yes,121 Prelab,,"November 2, 2021",,,
Yes,100: Project proposal,,"November 9, 2021",,,
Yes,221 AVL Lab → not sure why I can't get rotate left to work → ask to meet up with sky on Saturday,,"November 14, 2021",,,
Yes,International,,"November 16, 2021",,,
Yes,100 Midterm 2,,"November 16, 2021",,,
Yes,121 Assignment 3,,"November 16, 2021",,,
Yes,307: HW 4,,"November 16, 2021",,,
Yes,307 Midterm 2,,"November 17, 2021",,,
Yes,121 Midterm 2,,"November 17, 2021",,,
Yes,302 Midterm 2,,"November 19, 2021",,,
Yes,221 Lab Dict,,"November 21, 2021",,,
Yes,121 Quiz A & B,,"November 22, 2021",,,
Yes,302: WW5,,"November 22, 2021",,,
Yes,221 PA3,,"November 22, 2021",,,
Yes,221 PA2,,"November 22, 2021",,,
Yes,121 Prelab,,"November 23, 2021",,,
Yes,100 Tutorial,,"November 25, 2021",,,
Yes,307: Python #3,,"November 26, 2021",,,
Yes,100 Worksheet,,"November 27, 2021",,,
Yes,307: HW 5,,"December 3, 2021",,,
Yes,302: WW6,,"December 6, 2021",,,
Yes,121 Assignment 4,,"December 7, 2021",,,
Yes,307: Python #4,,"December 7, 2021",,,
Yes,WRDS150: Introduction,,"January 10, 2022",,,
Yes,WRDS150: Syllabus activity,,"January 11, 2022",,,
Yes,WRDS150: ILA 2,,"January 21, 2022",,,
Yes,MATH303: HW1,,"January 21, 2022",,,
Yes,STAT306: WW1,,"January 23, 2022",,,
Yes,WRDS150: Library search tutorial,,"January 23, 2022",,,
Yes,"213 Quiz 1 ",,"January 25, 2022",,,
Yes,CPSC213: ASGN1,,"January 25, 2022",,,
Yes,"150: ILA 3 ",,"January 28, 2022",,,
Yes,STAT306: WW2,,"January 30, 2022",,,
Yes,WRDS150: RR A2,,"January 30, 2022",,,
Yes,CPSC213: ASGN2,,"February 1, 2022",,,
Yes,"150: ILA 4 ",,"February 4, 2022",,,
Yes,MATH303:  HW3,,"February 4, 2022",,,
Yes,STAT306: WW3,,"February 6, 2022",,,
Yes,STAT306 LAB,,"February 11, 2022",,,
Yes,MATH303: MIDTERM 1,,"February 11, 2022",,,
Yes,STAT306: WW4,,"February 13, 2022",,,
Yes,CPSC213: ASGN4,,"February 15, 2022",,,
Yes,MATH303: HW4,,"February 18, 2022",,,
Yes,150 Annotated Bib,,"February 20, 2022",,,
Yes,150 Reserach Proposal First Draft,,"February 27, 2022",,,
Yes,STAT306: WW5,,"February 27, 2022",,,
Yes,That stats exam,,"February 28, 2022",,,
Yes,15 Research Proposal Peer Review,,"February 28, 2022",,,
Yes,CPSC213: ASGN5,,"March 1, 2022",,,
Yes,Research Proposal Due,,"March 2, 2022",,,
Yes,CPSC213 MIDTERM,,"March 2, 2022",,,
Yes,STAT306: Assignment 1,,"March 4, 2022",,,
Yes,MATH303: HW5,,"March 4, 2022",,,
Yes,STAT306: WW6,,"March 6, 2022",,,
Yes,STAT 306 MIDTERM 1,,"March 8, 2022",,,
Yes,CPSC213: ASGN6,,"March 8, 2022",,,
Yes,MATH303:  HW6,,"March 11, 2022",,,
Yes,150 Reading response to article 5,,"March 13, 2022",,,
Yes,STAT306: WW7,,"March 13, 2022",,,
Yes,CPSC213: ASGN7,,"March 15, 2022",,,
Yes,306 Group project proposal,,"March 18, 2022",,,
Yes,MATH303: MIDTERM 2,,"March 18, 2022",,,
Yes,150 Presentation,,"March 20, 2022",,,
Yes,STAT306: WW8,,"March 20, 2022",,,
Yes,306 Pre-class activity,,"March 22, 2022",,,
Yes,CPSC213: ASGN8,,"March 22, 2022",,,
Yes,150 Article 6 response,,"March 23, 2022",,,
Yes,MATH303: HW7,,"March 26, 2022",,,
Yes,STAT306: WW9,,"March 27, 2022",,,
Yes,150 Academic style quiz,,"March 28, 2022",,,
Yes,CPSC213: ASGN9,,"March 29, 2022",,,
Yes,MATH303:  HW8,,"April 1, 2022",,,
Yes,150 Final Paper For Peer Review,,"April 3, 2022",,,
Yes,STAT306: WW10,,"April 3, 2022",,,
Yes,STAT306: Asmt 2,,"April 4, 2022",,,
Yes,213 Quiz,,"April 6, 2022",,,
Yes,150: My research journey,,"April 7, 2022",,,
Yes,306 Preclass,,"April 7, 2022",,,
Yes,306 Lab,,"April 8, 2022",,,
Yes,STAT306: Group Project,,"April 8, 2022",,,
Yes,CPSC213: ASGN10,,"April 8, 2022",,,
Yes,MATH303: HW9,,"April 8, 2022",,,
Yes,CPSC213 EXAM,,"April 9, 2022",,,
Yes,STAT306 EXAM,,"April 9, 2022",,,
Yes,MATH303 EXAM,,"April 9, 2022",,,
Yes,150 Final Paper,,"April 10, 2022",,,
Yes,STAT306: WW11,,"April 10, 2022",,,
Yes,CPSC213: ASGN11,,"April 15, 2022",,,
Yes,303 FINAL,,"April 21, 2022",,,
Yes,213 FINAL,,"April 22, 2022",,,
Yes,306 FINAL,,"April 22, 2022",,,
Yes,Course selection 10:50PST,,"June 30, 2022",,,
Yes,COOP MODU 2,,"August 23, 2022",,,
Yes,COOP MODU 1,,"August 23, 2022",,,
Yes,LOCK CREDIT CARD BEFORE 27th,,"August 27, 2022",,,
Yes,Complete first week lecture & tutorial sheets,,"September 10, 2022",,,
Yes,Assignment 1,,"September 12, 2022",,,
Yes,"Assignment 1 ",,"September 25, 2022",,,
Yes,Assignment 2,,"October 2, 2022",,,
Yes,STAT201 MT 1,,"October 5, 2022",,,
Yes,Practice Problems Every Friday,,"October 7, 2022",,,
Yes,COMR 457 MT1,,"October 12, 2022",,,
Yes,MATH 344 MT,,"October 20, 2022",,,
Yes,COMR473 Midterm,,"October 22, 2022",,,
Yes,Assignment 3,,"October 23, 2022",,,
Yes,"COMR329 Midterm ",,"October 25, 2022",,,
Yes,Assignment 4,,"November 6, 2022",,,
Yes,STAT 201 MT 2,,"November 7, 2022",,,
Yes,Review upcoming lecture notes every Sunday,,"November 13, 2022",,,
Yes,comr457 mt 2,,"November 16, 2022",,,
Yes,Assignment 5,,"November 27, 2022",,,
Yes,COOP MODU 4,,"January 6, 2023",,,
Yes,COOP MODU 3,,"January 6, 2023",,,
Yes,"Plan out Goals for year ",,"January 25, 2023",,,
Yes,Review all ace tech notes,,"February 15, 2023",,,
Yes,ask about Onboarding onto mini extensions for AARP,,"February 15, 2023",,,
Yes,Internal Base Updates,,"February 15, 2023",,,
Yes,"IBRN Xcel build out ",,"February 15, 2023",,,
Yes,"Ace Tech redraft bill of materials ",,"February 17, 2023",,,
Yes,AceTech Duplication task,,"February 17, 2023",,,
Yes,Video production break down outline,,"February 17, 2023",,,
Yes,ARPA Form View Reivew,,"February 17, 2023",,,
Yes,Upload my part of the views course and update Cherry,,"February 23, 2023",,,
Yes,Outline CEOP steps / todo for IBRM,,"February 24, 2023",,,
Yes,Next level of ace tech updates → combining those two interfaces,,"February 24, 2023",,,
Yes,IBRN Iask Chantal about the outcome form updates that they want and if I can work on that,,"February 24, 2023",,,
Yes,IBRN Post service confidence survey ask Chantal,,"February 24, 2023",,,
Yes,Create Course Descriptions Using Chat GPT,,"March 3, 2023",,,
Yes,Module 3 Video Thumbnails,,"March 3, 2023",,,
Yes,Email coop advisor,,"March 8, 2023",,,
Yes,Send out weekly message to brothers,,"March 12, 2023",,,
Yes,Onboarding document development,,"April 28, 2023",,,
No,STAT 450 Short Presnetation,,"February 7, 2025",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
No,2022 Coop,,,,,
Yes,Alpha Delt Speech,,,,,
Yes,Investigate locker rentals at arc / BC,,,,,
Yes,"I'm on a staircase alone ",,,,,
No,Resume and Cover Letter Review,,,,,
Yes,Put chalk pants in sports bag,,,,,
No,Taxi Sim,,,,,
No,"Check 4 grants ",,,,,
No,Learn SQL,,,,,
No,R Wiki Links,,,,,
No,UZ: pitch slide show,,,,,
No,NLP: train model,,,,,
No,FEP: Begin studying options & get git hub up,,,,,
No,"Brainstorm 5 eazy projects → blockchain, data science, computer science, machine learning",,,,,
Yes,Xanadu Quantum Technologies,,,,,
No,Inner engineering,,,,,
No,website,,,,,
No,303 Study material,,,,,
No,Kaggle comp,,,,,
No,Look at skiis on plane,,,,,
Yes,,,,,,
Yes,,,,,,
Yes,Text dad back,,,,,
No,Write down goals → things I want to do next term,,,,,
No,Look into best schedule for exam season,,,,,
No,Send messages to pledgebros we're concerned about,,,,,
Yes,Pledge lit prz: Joe Rogan #1221 start,,,,,
No,Grind some poker for the stats,,,,,
No,Go and look through hands that I flagged and analyse them,,,,,
No,message people about what they're doing friday,,,,,
No,"Create a text ui + basic functionality ",,,,,
No,,,,,,
No,Look up hand stand progression,,,,,
No,"Look to buy tools and the electronic components for skateboard ",,,,,
No,Start lesson 4 of ML,,,,,
No,Read rest of chapter 5 investing book,,,,,
No,,,,,,
No,"Go look at history of gambling and stock brokers price. ",,,,,
No,Apply for the FoodSafe Course,,,,,
No,Pick a growth stock and preform DD,,,,,
Yes,R installed and working properly,,,,,
No,,,,,,
Yes,,,,,,
Yes,,,,,,
